strategy,year,days,return,volatility,daily_CVaR95
equal_weight,2021,252,0.3116272549040029,0.13808271034945782,0.019657499260576493
equal_weight,2022,251,-0.08199677928462534,0.24055913941783008,0.03214738530007697
equal_weight,2023,250,0.14803385995432383,0.14025466052498353,0.017703433884476642
equal_weight,2024,252,0.0960379752037055,0.11877729743270897,0.017984915535626707
equal_weight,2025,250,0.1298373724858468,0.18308056734081246,0.026011621863055466
equal_weight,2026,34,0.048251031122553245,0.11716279870129853,0.013510429805510898
baseline,2021,252,0.1899123038443986,0.10865022144917526,0.014321858325562077
baseline,2022,251,-0.05572332397460933,0.17794590826772647,0.023998706954394225
baseline,2023,250,0.03222907146983456,0.11615270633042413,0.015340868497183701
baseline,2024,252,0.2044788546664642,0.10005448618600538,0.01375339483142495
baseline,2025,250,0.08134793768842496,0.14326478007033475,0.01996836632172397
baseline,2026,34,0.03651560014488564,0.10391164622476456,0.01320963069701565
pipeline1,2021,252,0.21734688833960014,0.10792464932337532,0.014481068367225385
pipeline1,2022,251,-0.04053538408892188,0.1757084857473618,0.02346988153673262
pipeline1,2023,250,0.026516693720424422,0.11590734861660427,0.015411892021391383
pipeline1,2024,252,0.19851142646569775,0.10031552728363594,0.013933245731010006
pipeline1,2025,250,0.08143743697613015,0.14151014473802082,0.019503033024827157
pipeline1,2026,34,0.032096491538771144,0.10573995131110012,0.0137664688078153
pipeline2,2021,252,0.2152509874839652,0.10817979672995634,0.014347229724251584
pipeline2,2022,251,-0.05409523774487579,0.17651052016775118,0.0237204196571868
pipeline2,2023,250,0.034372993407360886,0.11536569112013077,0.015046951661646955
pipeline2,2024,252,0.1628013900194587,0.0999406352983541,0.014058983910583914
pipeline2,2025,250,0.04751694518814209,0.14472371002034923,0.019536566347147948
pipeline2,2026,34,0.025430140774568732,0.09591203818322964,0.0135330676282001
pipeline3,2021,252,0.21399502395733472,0.10810365517688117,0.014361405281456185
pipeline3,2022,251,-0.05324396571491197,0.17653006686007144,0.0236983323156381
pipeline3,2023,250,0.0335478463709884,0.1149924957121146,0.015006738585775824
pipeline3,2024,252,0.1621109185581422,0.09979766393050443,0.01405233182300994
pipeline3,2025,250,0.04822281005114526,0.14460539762030217,0.019487701166074747
pipeline3,2026,34,0.026312882296821494,0.0935843569724998,0.01304996126265655
