Date,Ticker,simple_return
2008-09-15,AIG,-0.6078893912587642
2020-03-09,APA,-0.5389792484576555
2000-09-29,AAPL,-0.5125
2001-09-26,AES,-0.4948320413436692
2008-09-17,AIG,-0.45333050487908355
2005-02-28,BIIB,-0.4255350772889418
2000-09-27,BKNG,-0.4233006179571065
2001-09-17,BKNG,-0.3980352303523035
2009-02-27,C,-0.3904185022026432
2000-11-09,BBY,-0.3875486381322957
2000-10-05,BKNG,-0.3800144560896278
2009-01-22,AFL,-0.3683767872161481
2002-08-08,BBY,-0.365079365079365
2001-11-06,AMT,-0.35435056746532156
2008-09-24,AIG,-0.33794749403341295
2002-10-03,AMD,-0.3240223463687151
2020-03-16,APA,-0.3237410071942446
2002-02-19,AES,-0.3221476510067114
2000-11-03,BKNG,-0.31039603960396034
2008-09-12,AIG,-0.30826760946423715
2002-08-01,ADBE,-0.29756915339480294
2019-03-21,BIIB,-0.2923048130010293
2009-01-20,BAC,-0.2888086642599278
2002-08-07,AMT,-0.28658536585365857
2014-01-16,BBY,-0.2855397148676172
2008-08-01,BIIB,-0.2831135321100918
2020-11-09,BIIB,-0.2816661599270295
2020-03-16,BBWI,-0.27697536108751064
2009-07-09,AIG,-0.2758201701093561
2002-07-25,AES,-0.27564102564102577
2001-07-06,AMD,-0.2737430167597765
2008-09-29,BK,-0.27145790554414795
2000-07-20,A,-0.2708380393042693
2002-11-06,BKNG,-0.26832844574780057
2000-07-19,BSX,-0.26708074534161497
2008-11-20,C,-0.26416295353278174
2002-07-18,BAX,-0.26277372262773724
2000-04-14,AKAM,-0.2627272727272728
2002-02-15,AES,-0.2623762376237624
2008-10-07,BAC,-0.26203208556149726
2005-01-11,AMD,-0.2617983109786388
2000-04-03,AKAM,-0.2599962688887507
2003-11-05,BKNG,-0.2595552466990967
2009-02-27,BAC,-0.25790754257907555
2002-06-26,BKNG,-0.2550156041016496
2002-10-08,AES,-0.25454545454545463
2008-07-31,AKAM,-0.25312
2008-10-09,AIG,-0.2508728179551123
2001-07-24,AMZN,-0.2500000000000001
2003-02-06,A,-0.2482051282051282
2025-11-20,BBWI,-0.24795377948964858
2009-04-20,BAC,-0.2426829268292683
2017-05-02,AMD,-0.2422907488986783
2008-12-01,ARE,-0.2413793103448275
2000-11-08,BKNG,-0.24060150375939848
2020-03-16,BA,-0.23848413631022314
2007-12-13,BIIB,-0.23682129678439645
2002-02-04,BKNG,-0.23586169927633338
2020-03-11,APA,-0.23573735199138857
